CategoryId,CategoryName,Description
1,Science Fiction,Explore the world of futuristic science and technology.
2,Literature,Enjoy literary masterpieces and classics.
3,Biography,Discover the fascinating lives of notable individuals.
4,History,Uncover the secrets of the past through historical accounts.
5,Mystery,Embark on thrilling journeys of crime and suspense.
6,Health & Fitness,Achieve optimum health and wellness.
7,Technology,Explore the latest developments in the world of technology.
8,Education,Expand your knowledge and skills through educational resources.
9,Art,Appreciate artistic expressions through various mediums.
10,Cooking,Delight in culinary adventures and delicious recipes.
