BookId,BookName,Author,CostPrice,SellPrice,Quantity,CategoryId,Description,PublisherId,ImageUrl,IsActive,CreatedAt,LastModifiedAt
1,Customizable zero administration focus group,Henry Conner,61.12,23.3,15,5,Four account whom bank he.,16,default_product.png,TRUE,9/17/2023,2/3/2024
2,Profound bottom-line matrix,Heather Petty,62.46,28.15,34,1,After owner build site study professional wide.,4,default_product.png,FALSE,6/23/2023,1/16/2024
3,Business-focused system-worthy intranet,Lisa Yu,53.91,55.43,66,6,Onto scene dark democratic.,19,default_product.png,FALSE,9/14/2020,1/5/2024
4,Cross-group national project,Olivia Boyle,40.01,92.14,55,2,Cost nothing bring.,11,default_product.png,TRUE,7/5/2023,1/18/2024
5,Cross-group well-modulated service-desk,Rebecca Fuller,83.59,78.76,100,6,Weight kitchen memory low exist new.,1,default_product.png,TRUE,11/21/2020,3/6/2024
6,Cross-group clear-thinking array,Joseph Monroe,95.17,75.96,96,2,Past center not lay admit become debate.,3,default_product.png,FALSE,12/15/2020,1/2/2024
7,Extended systemic matrix,Benjamin Robertson,34.61,5.32,71,3,Later yard west for pretty pressure ago.,5,default_product.png,FALSE,10/9/2021,3/3/2024
8,Upgradable clear-thinking system engine,Valerie Hensley,6.86,41.02,96,2,Heart attorney deep wear raise per.,8,default_product.png,FALSE,1/7/2024,3/10/2024
9,Mandatory disintermediate website,Gloria Griffith,43.8,21,67,5,Whatever happen large window lose about see.,7,default_product.png,FALSE,10/11/2023,1/16/2024
10,Persistent full-range monitoring,Teresa Wright,77.26,55.68,46,4,Line above no change heavy particular.,15,default_product.png,TRUE,5/21/2022,2/14/2024
11,Versatile contextually-based frame,William Kent,1.97,19.02,42,2,World executive score side.,12,default_product.png,FALSE,12/9/2023,1/27/2024
12,Extended heuristic capacity,Nancy Smith,90.07,82.17,96,1,No admit southern guess soon.,9,default_product.png,FALSE,6/15/2020,3/4/2024
13,Automated systemic concept,Shaun Fisher,70.1,13.27,62,1,Down change south interest.,11,default_product.png,FALSE,4/3/2023,3/14/2024
14,Sharable full-range access,Kathy Smith,48.04,28.34,30,1,Ten beautiful television article behind stock.,3,default_product.png,TRUE,3/30/2021,2/7/2024
15,Diverse even-keeled encryption,Chad Johnson,79.46,49.08,73,2,Travel spring industry when dark avoid customer.,20,default_product.png,FALSE,3/21/2023,1/17/2024
16,Profound discrete attitude,Ashley Garrett,36.77,39.58,70,6,Lay fight detail a.,20,default_product.png,TRUE,3/18/2022,3/10/2024
17,Innovative clear-thinking throughput,Joyce Flores,7.54,47.5,100,8,Lay citizen car so ground role role.,3,default_product.png,TRUE,1/12/2021,3/8/2024
